Longitude,Latitude,Type,Name,Street,City,State,Zip_Code
-74.003764,40.737972,Best Burgers,Corner Bistro,331 W 4th St,New York,NY,10014
-74.001775,40.737358,Best Burgers,The Little Owl,93 Greenwich Ave,New York,NY,10014
-73.973704,40.751107,Best Restaurants,Sushi Yasuda,204 E 43rd St,New York,NY,10017
-73.98497,40.762497,Halls of Fame,American Theater Hall of Fame,222 West 51st Street,New York,NY,10019
-73.983127,40.768637,Best Restaurants,Masa,10 Columbus Cir 4th Fl,New York,NY,10019
-73.981788,40.761546,Best Restaurants,Le Bernardin,155 West 51st Street,New York,NY,10019
-73.98112,40.767387,Best Restaurants,Marea,240 Central Park S,New York,NY,10019
-73.976402,40.764237,Best Restaurants,Betony,41 W 57th St,New York,NY,10019
-73.982793,40.768293,Best Restaurants,Per Se,10 Columbus Cir.,New York,NY,10023
-73.981422,40.769086,Best Restaurants,Jean Georges,1 Central Park West,New York,NY,10023
-73.965436,40.805422,NASA Centers,Goddard Institute for Space Studies,2880 Broadway,New York,NY,10025
-73.950047,40.810021,Halls of Fame,The Apollo Theatre Hall of Fame,253 West 125th Street,New York,NY,10027
-73.957287,40.777477,Best Burgers,Lexington Candy Shop,1226 Lexington Ave,New York,NY,10028
-73.967608,40.766728,Best Restaurants,Daniel,60 E 65th St,New York,NY,10065
-73.913953,40.858799,Halls of Fame,Hall of Fame for Great Americans,2155 University Ave,Bronx,NY,10453
-73.922602,40.826983,Halls of Fame,Bronx Walk of Fame,161st Street and Grand Concourse,Bronx,NY,10458
-73.677004,40.965491,Theme Park,Rye Playland,100 Playland Pkwy,Rye,NY,10580
-73.828674,41.104049,Best Restaurants,Blue Hill at Stone Barns,630 Bedford Rd.,Pocantico Hills,NY,10591
-74.31937,41.404217,Halls of Fame,Harness Racing Museum & Hall of Fame,240 Main St,Goshen,NY,10924
-73.985315,40.688453,Best Restaurants,Chef's Table at Brooklyn Fare,212 Schermerhorn St.,Brooklyn,NY,11201
-73.962452,40.709828,Best Burgers,Peter Luger,178 Broadway,Brooklyn,NY,11211
-73.981396,40.675301,Best Restaurants,Al Di La,248 5th Ave,Brooklyn,NY,11215
-74.171111,40.733611,NBA Stadium,Barclays Center,620 Atlantic Avenue,Brooklyn,NY,11217
-73.955717,40.720914,Best Restaurants,The Elm,160 N 12th St,Brooklyn,NY,11249
-73.849069,40.755916,Halls of Fame,New York Mets Hall of Fame,123-01 Roosevelt Ave,Flushing-Queens,NY,11368
-73.303341,40.82922,Halls of Fame,National Jewish Sports Hall of Fame and Museum,74 Hauppauge Road,Commack,NY,11725
-73.419764,40.752605,Theme Park,Adventureland Amusement Park,2245 Broad Hollow Road (RT. 110),Farmingdale,NY,11735
-72.730441,40.924221,Theme Park,Splish Splash,2549 Splish Splash Drive,Calverton,NY,11933
-73.697225,43.352495,Theme Park,The Great Escape & Splashwater Kingdom,89 Six Flags Dr,Queensbury,NY,12804
-73.702284,43.397008,Theme Park,Magic Forest,1912 State Route 9,Lake George,NY,12845
-73.790244,43.065892,Halls of Fame,National Museum of Dance and Hall of Fame,99 S Broadway,Saratoga Springs,NY,12866
-73.773411,43.076264,Halls of Fame,U.S. National Museum of Racing and Hall of Fame,191 Union Ave,Saratoga Springs,NY,12866
-75.749813,43.08938,Halls of Fame,International Boxing Hall of Fame,360 N Peterboro St,Canastota,NY,13032
-76.797694,42.910936,Halls of Fame,National Women's Hall of Fame,76 Fall St,Seneca Falls,NY,13148
-74.92321,42.699958,Halls of Fame,National Baseball Hall of Fame and Museum,25 Main St,Cooperstown,NY,13326
-75.228271,43.103216,Halls of Fame,National Distance Running Hall of Fame,114 Genesee St,Utica,NY,13502
-75.112942,42.447417,Halls of Fame,National Soccer Hall of Fame,West End ,New York,NY,13820
-77.600709,43.152744,Halls of Fame,National Toy Hall of Fame,1 Manhattan Square Dr,Rochester,NY,14607
-77.542123,43.231634,Theme Park,Seabreeze Amusement Park,4600 Culver Rd,Rochester,NY,14622
-74.0129973,40.7138034,Verizon Locations,Verizon 140 West St,140 West St,New York,NY,10007
-73.975441,40.747432,Verizon Locations,Verizon 221 E 37Th St,221 E 37Th St,New York,NY,10016
-76.0866343,43.078345,Verizon Locations,Verizon 6360 Thompson Rd,6360 Thompson Rd,Syracuse,NY,13206
-73.770873,41.032452,Verizon Locations,Verizon 111 Main St,111 Main St,White Plains,NY,10601
-77.6420318,43.0665157,Verizon Locations,Verizon 133 Calkins Rd,133 Calkins Rd,Rochester,NY,14623
-73.6286338,40.7083715,Verizon Locations,Verizon 199 Fulton Ave,199 Fulton Ave,Hempstead,NY,11550
-73.9898524,41.0400227,Verizon Locations,Verizon 2000 Corporate Dr,2000 Corporate Dr,Orangeburg,NY,10962
-74.0469952,41.1094588,Verizon Locations,Verizon 239 W Rte 59,239 W Rte 59,Spring Valley,NY,10977
-73.7810693,41.1006785,Verizon Locations,Verizon 500 Summit Lake Dr,500 Summit Lake Dr,Valhalla,NY,10595
-73.6047292,40.7404371,Verizon Locations,Verizon 741 Zeckendorf Blvd,741 Zeckendorf Blvd,Garden City,NY,11530
-82.782808,39.933784,Halls of Fame,Motorcycle Hall of Fame,13515 Yarmouth Dr,Pickerington,OH,43147
-82.99108,39.939472,Best Burgers,Thurman Cafe,183 Thurman Ave,Columbus,OH,43206
-83.021166,40.010719,Halls of Fame,Ohio State Varsity O Hall of Fame,2400 Olentangy River Rd,Columbus,OH,43210
-81.695377,41.508542,Halls of Fame,Rock and Roll Hall of Fame,1100 E 9th St,Cleveland,OH,44114
-81.688056,41.496389,NBA Stadium,Quicken Loans Arena,1 Center Court,Cleveland,OH,44115
-81.526941,41.598378,Halls of Fame,Polka Hall of Fame,605 E 222nd St,Cleveland,OH,44123
-81.854496,41.418747,NASA Centers,NASA Glenn Research Center,21000 Brookpark Road,Cleveland,OH,44135
-81.517042,41.079024,Halls of Fame,National Inventors Hall of Fame,199 S Broadway St,Akron,OH,44308
-81.397848,40.821113,Halls of Fame,Pro Football Hall of Fame,2121 George Halas Dr NW,Canton,OH,44708
-82.683604,41.481944,Theme Park,Cedar Point Amusement,1 Cedar Point Dr,Sandusky,OH,44870
-84.25832,39.35745,Theme Park,Kings Island Theme Park,6300 Kings Island Dr,Maineville,OH,45039
-84.518509,39.108589,Halls of Fame,American Classical Music Hall of Fame and Museum,1225 Elm St,Cincinnati,OH,45202
-84.508503,39.097443,Halls of Fame,Cincinnati Reds Hall of Fame and Museum,100 Joe Nuxhall Way,Cincinnati,OH,45202
-84.110375,39.781725,Halls of Fame,National Aviation Hall of Fame,1100 Spaatz St,Dayton,OH,45433
-82.105604,39.323292,Halls of Fame,Kermit Blosser Ohio Athletics Hall of Fame,95 Richland Ave,Athens,OH,45701
-81.453023,41.29607,Verizon Locations,Verizon 2000 Highland RD,2000 Highland RD,Twinsburg,OH,44087
-83.1324994,40.0545212,Verizon Locations,Verizon 5000 Britton RD,5000 Britton RD,Hilliard,OH,43026
-83.1278961,40.1057272,Verizon Locations,Verizon 5165 Emerald Pkwy,5165 Emerald Pkwy,Dublin,OH,43017
-79.863684,40.387588,Theme Park,Kennywood,4800 Kennywood Blvd,West Mifflin,PA,15122
-80.018185,40.445625,Halls of Fame,Robot Hall of Fame,1 Allegheny Ave,Pittsburgh,PA,15212
-80.510511,41.232948,Halls of Fame,Vocal Group Hall of Fame,82 W State St,Sharon,PA,16146
-76.654098,40.288746,Theme Park,Hersheypark,100 W Hersheypark Dr,Hershey,PA,17033
-76.21831,40.027031,Theme Park,Dutch Wonderland,2249 Lincoln Hwy E,Lancaster,PA,17602
-76.503917,40.877839,Theme Park,Knoebels Amusement Resort,391 Knoebels Blvd,Elysburg,PA,17824
-75.53387,40.578397,Theme Park,Dorney Park and Wildwater Kingdom,4000 Dorney Park Rd,Allentown,PA,18104
-74.872025,40.185381,Theme Park,Sesame Place,100 Sesame Rd,Langhorne,PA,19047
-75.145071,39.946303,Best Restaurants,Zahav,237 St James Pl,Philadelphia,PA,19106
-75.163173,39.946675,Best Restaurants,Vetri,1312 Spruce St,Philadelphia,PA,19107
-75.130105,39.970539,Best Burgers,Sketch Burger,413 E Girard Ave,Philadelphia,PA,19125
-75.171944,39.901111,NBA Stadium,Wells Fargo Center,3601 S Broad St,Philadelphia,PA,19148
-75.166506,39.906067,Halls of Fame,Philadelphia Baseball Wall of Fame,1 Citizens Bank Way,Philadelphia,PA,19148
-75.147224,39.918283,Halls of Fame,Hardcore Hall of Fame,2300 S. Swanson St.,Philadelphia,PA,19148
-75.458042,40.194215,Halls of Fame,USA Field Hockey Hall of Fame,601 E Main St,Collegeville,PA,19426
-75.169387,39.9554045,Verizon Locations,Verizon 1717 Arch ST,1717 Arch ST,Philadelphia,PA,19103
-80.098236,40.6643169,Verizon Locations,Verizon 300 Allegheny DR,300 Allegheny DR,Warrendale,PA,15086
-75.88121,41.2455252,Verizon Locations,Verizon 60 Public SQ,60 Public SQ,Wilkes Barre,PA,18701
-74.9810591,40.1220653,Verizon Locations,Verizon 8 Neshaminy Interplex,8 Neshaminy Interplex,Trevose,PA,19053
-71.272913,41.66354,Halls of Fame,America's Cup Hall of Fame,1 Burnside St,Bristol,RI,2809
-71.308297,41.482789,Halls of Fame,International Tennis Hall of Fame,194 Bellevue Ave,Newport,RI,2840
-79.932125,32.778074,Best Restaurants,Husk,76 Queen St,Charleston,SC,29401
-79.931545,32.782379,Best Restaurants,FIG,232 Meeting St,Charleston,SC,29401
-79.927104,32.778266,Best Restaurants,McCrady's,2 Unity Aly,Charleston,SC,29401
-79.94689,32.788823,Best Restaurants,Hominy Grill,207 Rutledge Ave,Charleston,SC,29403
-80.8353538,34.1110633,Verizon Locations,Verizon 501 Spears Creek Church RD,501 Spears Creek Church RD,Elgin,SC,29045
-82.281457,34.8153,Verizon Locations,Verizon 701 Brookfield PKWY,701 Brookfield PKWY,Greenville,SC,29607
-80.0123085,32.8783475,Verizon Locations,Verizon 2401 Mall DR,2401 Mall DR,North Charleston,SC,29406
-86.778207,36.156741,Halls of Fame,Nashville Songwriters Foundation,6th Ave S & Demonbreun St,Nashville,TN,37203
-86.776646,36.15936,Halls of Fame,Music City Walk of Fame,4th Ave S,Nashville,TN,37203
-86.776131,36.158278,Halls of Fame,Country Music Hall of Fame,222 5th Ave S,Nashville,TN,37203
-86.794112,36.151281,Best Restaurants,Catbird Seat,1711 Division St,Nashville,TN,37203
-83.533907,35.794979,Theme Park,Dollywood,2700 Dollywood Parks Blvd,Pigeon Forge,TN,37863
-83.862588,35.687273,Best Restaurants,The Barn at Blackberry Farm,1471 West Millers Cove Road,Walland,TN,37886
